year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2012,5,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,200.00,25.00,7.76,1.00,10.52,0.00,5.72,0.00,0.00,759.00,232.00,45.00,297.00,0.00,185.00
2012,5,EV,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,4.00,3.43,0.00,0.54,0.00,0.03,0.00,0.00,116.00,100.00,0.00,15.00,0.00,1.00
2012,5,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,40.00,3.00,0.97,0.00,1.54,0.00,0.49,0.00,0.00,60.00,19.00,0.00,31.00,0.00,10.00
2012,5,FL,AirTran Airways Corporation,AUS,Austin  TX: Austin - Bergstrom International,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2012,5,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,295.00,62.00,19.31,0.29,24.78,0.00,17.62,0.00,0.00,2567.00,1024.00,21.00,676.00,0.00,846.00
2012,5,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,342.00,41.00,15.81,1.55,9.56,0.46,13.63,2.00,1.00,2438.00,796.00,259.00,465.00,12.00,906.00
2012,5,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1555.00,228.00,76.76,3.65,33.20,0.00,114.40,1.00,6.00,10980.00,3907.00,237.00,1131.00,0.00,5705.00
2012,5,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,241.00,45.00,16.61,0.95,13.44,0.82,13.19,0.00,1.00,3113.00,1491.00,18.00,448.00,40.00,1116.00
2012,6,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,656.00,108.00,50.26,13.05,16.91,0.00,27.78,12.00,0.00,5345.00,2087.00,957.00,547.00,0.00,1754.00
2012,6,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,30.00,1.00,0.19,0.00,0.81,0.00,0.00,0.00,0.00,31.00,6.00,0.00,25.00,0.00,0.00
