"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-26","10.74"," 1541"," 1619","0.01","0.0","0.0",,"67","45","  310","  310","0.0","25.9","33.1",,,"    1",,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-27","8.05"," 0359"," 0427","0.00","0.0","0.0",,"63","43","  340","  350","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-02-28","8.50"," 1612"," 1513","0.00","0.0","0.0",,"65","38","  120","  120","0.0","23.9","31.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-01","12.75"," 2344"," 2143","0.62","0.0","0.0",,"59","45","  350","  360","0.0","25.1","33.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-02","11.41"," 0102"," 0127","0.00","0.0","0.0",,"59","41","  350","  330","0.0","23.0","29.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-03","3.13"," 1412"," 1515","0.00","0.0","0.0",,"64","35","  290","  310","0.0","12.1","15.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-04","5.14"," 1733"," 1557","0.00","0.0","0.0",,"67","40","  130","  150","0.0","16.1","19.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-05","6.93"," 1527"," 1154","0.00","0.0","0.0",,"64","42","  140","  130","0.0","19.9","23.9","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-06","7.61"," 1237"," 1326","0.00","0.0","0.0",,"69","43","  120","  120","0.0","17.0","23.0","    1",,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-07","9.40"," 1347"," 1349","0.00","0.0","0.0",,"66","47","  130","  130","0.0","19.9","23.9","    1",,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-08","13.87"," 1311"," 1522","0.29","0.0","0.0",,"66","56","  130","  140","0.0","29.1","33.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-09","6.93"," 0405"," 2247","0.00","0.0","0.0",,"80","64","  170","  180","0.0","13.0","17.0","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-10","6.71"," 1127"," 1225","0.00","0.0","0.0",,"77","62","  150","  140","0.0","17.9","23.9","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-11","5.37"," 2149"," 2136","0.00","0.0","0.0",,"79","56","  340","  330","0.0","23.0","31.1","    1","    1",,,,,,"    1","    1",,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-12","10.96"," 1639"," 1556","0.00","0.0","0.0",,"69","50","  310","  300","0.0","23.0","34.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-13","7.61"," 1431"," 1210","0.00","0.0","0.0",,"73","50","  300","  310","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-14","2.91"," 1755"," 1410","0.00","0.0","0.0",,"81","45","  140","  200","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-15","5.59"," 0850"," 1043","0.00","0.0","0.0",,"76","55","   70","   70","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-16","4.47"," 2331"," 2342","0.04","0.0","0.0",,"60","54","  310","  290","0.0","10.1","13.0","    1",,,,"    1",,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-17","6.93"," 1513"," 1403","0.00","0.0","0.0",,"71","49","  350","  340","0.0","17.0","23.9","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-18","4.92"," 1411"," 1741","0.00","0.0","0.0",,"71","47","  310","  280","0.0","14.1","19.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-19","8.95"," 1733"," 1814","0.00","0.0","0.0",,"74","45","  140","  150","0.0","21.9","25.1","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-20","12.97"," 1845"," 1736","0.49","0.0","0.0",,"63","39","  320","  310","0.0","25.9","36.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-21","15.66"," 1409"," 1525","0.00","0.0","0.0",,"58","37","  310","  280","0.0","30.0","40.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-03-22","5.59"," 1513"," 1512","0.00","0.0","0.0",,"69","42","  250","  250","0.0","13.0","17.0",,,,,,,,,,,,,,,,,
